"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0.5,,
"USA","United States","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0.4,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,2.4,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,3,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,2.9,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,3.4,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,3.7,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,3.7,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,3.4,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,3.5,,
"ISL","Iceland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,3.6,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.2,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.2,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,1.8,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,1.8,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.7,,
"POL","Poland","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.6,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0,,
"AUS","Australia","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0.9,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,1.1,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.3,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.5,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,1.7,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,1.6,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.5,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.5,,
"ESP","Spain","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,1.6,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,1.6,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,1.6,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,1.6,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.5,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.4,,
"DNK","Denmark","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,1.4,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,0.7,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,0.5,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,0.7,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,0.6,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0.8,,
"LUX","Luxembourg","TOTAL","Total","FAM11C","Public social expenditure on services and in-kind benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0.9,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,1.4,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2002","2002","PC","Percentage","0","Units",,,1.3,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,1.2,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2004","2004","PC","Percentage","0","Units",,,1.6,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,1.4,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2006","2006","PC","Percentage","0","Units",,,1.4,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,1.3,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2008","2008","PC","Percentage","0","Units",,,1.7,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,2.1,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,2.1,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,1.8,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,1.6,,
"EST","Estonia","TOTAL","Total","FAM11B","Public social expenditure on cash benefits for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,1.6,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2001","2001","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,0,,
"NZL","New Zealand","TOTAL","Total","FAM11D","Public social expenditure on tax breaks for families as a % of GDP","2013","2013","PC","Percentage","0","Units",,,0,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2003","2003","PC","Percentage","0","Units",,,3.2,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2005","2005","PC","Percentage","0","Units",,,2.9,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2007","2007","PC","Percentage","0","Units",,,2.9,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2009","2009","PC","Percentage","0","Units",,,3.2,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2010","2010","PC","Percentage","0","Units",,,3.2,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2011","2011","PC","Percentage","0","Units",,,3.1,,
"NOR","Norway","TOTAL","Total","FAM11A","Total public social expenditure on families as a % of GDP","2012","2012","PC","Percentage","0","Units",,,3.1,,
